model_name,category,image,threshold_ratio,neighborhood,model_num_peaks,human_num_peaks,delta_num_peaks
deepgazeiie,OutdoorManMade,005,0.5,35,8,6,2
deepgazeiie,OutdoorManMade,007,0.5,35,16,2,14
deepgazeiie,OutdoorManMade,009,0.5,35,4,4,0
deepgazeiie,OutdoorManMade,011,0.5,35,8,7,1
deepgazeiie,OutdoorManMade,013,0.5,35,4,3,1
deepgazeiie,OutdoorManMade,015,0.5,35,4,3,1
deepgazeiie,OutdoorManMade,017,0.5,35,12,7,5
deepgazeiie,OutdoorManMade,019,0.5,35,12,5,7
deepgazeiie,OutdoorManMade,021,0.5,35,12,1,11
deepgazeiie,OutdoorManMade,023,0.5,35,10,2,8
deepgazeiie,OutdoorManMade,025,0.5,35,4,4,0
deepgazeiie,OutdoorManMade,027,0.5,35,16,3,13
deepgazeiie,OutdoorManMade,029,0.5,35,12,7,5
deepgazeiie,OutdoorManMade,031,0.5,35,4,1,3
deepgazeiie,OutdoorManMade,033,0.5,35,24,6,18
deepgazeiie,OutdoorManMade,035,0.5,35,24,4,20
deepgazeiie,OutdoorManMade,037,0.5,35,36,5,31
deepgazeiie,OutdoorManMade,039,0.5,35,16,4,12
deepgazeiie,OutdoorManMade,041,0.5,35,8,1,7
deepgazeiie,OutdoorManMade,043,0.5,35,16,2,14
deepgazeiie,OutdoorManMade,045,0.5,35,8,1,7
deepgazeiie,OutdoorManMade,047,0.5,35,4,2,2
deepgazeiie,OutdoorManMade,049,0.5,35,4,8,4
deepgazeiie,OutdoorManMade,051,0.5,35,20,3,17
deepgazeiie,OutdoorManMade,053,0.5,35,8,1,7
deepgazeiie,OutdoorManMade,055,0.5,35,8,2,6
deepgazeiie,OutdoorManMade,057,0.5,35,8,1,7
deepgazeiie,OutdoorManMade,059,0.5,35,12,6,6
deepgazeiie,OutdoorManMade,061,0.5,35,8,9,1
deepgazeiie,OutdoorManMade,063,0.5,35,8,2,6
deepgazeiie,OutdoorManMade,065,0.5,35,8,9,1
deepgazeiie,OutdoorManMade,067,0.5,35,4,3,1
deepgazeiie,OutdoorManMade,069,0.5,35,8,2,6
deepgazeiie,OutdoorNatural,001,0.5,35,12,7,5
deepgazeiie,OutdoorNatural,003,0.5,35,4,3,1
deepgazeiie,OutdoorNatural,005,0.5,35,8,9,1
deepgazeiie,OutdoorNatural,007,0.5,35,4,1,3
deepgazeiie,OutdoorNatural,009,0.5,35,14,7,7
deepgazeiie,OutdoorNatural,011,0.5,35,24,4,20
deepgazeiie,OutdoorNatural,013,0.5,35,12,4,8
deepgazeiie,OutdoorNatural,015,0.5,35,8,5,3
deepgazeiie,OutdoorNatural,017,0.5,35,4,3,1
